Number;Start time in milliseconds;End time in milliseconds;"Text"
1;9538;12373;"<i>( Gate rumbling, chains rattling )</i>"
2;41439;43741;"( Horse snorts )"
3;55855;58590;"<i>( Rumbling, chain rattling )</i>"
4;74808;77243;"( Horse whickers )"
5;103037;105505;"<i>( Wind whispering )</i>"
6;115418;118420;"- ( Nickers )
- Easy, boy."
7;175047;176881;"<i>( Gasps</i>"
8;179885;182052;"( whinnies )"
9;191162;193331;"Man:
<i>What do you expect?</i>
<i>They're savages.</i>"
10;193365;195700;"One lot steals a goat
from another lot,"
11;195734;198737;"before you know it they're ripping
each other to pieces."
12;198771;200939;"I've never seen wildlings
do a thing like this."
13;200974;203275;"I never seen a thing like this,
not ever in my life."
14;203310;206179;"- ( Horse snorts )
- How close did you get?"
15;206213;209148;"- Close as any man would.
- We should head back to the wall."
16;211685;213319;"Do the dead frighten you?"
17;213353;215788;"Our orders were
to track the wildlings."
18;215822;218657;"We tracked them.
They won't trouble us no more."
19;218691;221360;"You don't think
he'll ask us how they died?"
20;223296;225297;"Get back on your horse."
21;225331;227398;"( Huffs )"
22;227433;229100;"( Mutters )"
23;230269;232170;"Whatever did it to them
could do it to us."
24;232205;234172;"They even killed
the children."
25;234207;237276;"It's a good thing
we're not children."
26;238778;241380;"You want to run away south,
run away."
27;241415;244317;"Of course they will
behead you as a deserter,"
28;244351;246720;"if I don't
catch you first."
29;248990;251258;"Get back on your horse."
30;251292;253260;"I won't say it again."
31;271413;273714;"<i>( Echoing animal call )</i>"
32;284825;287360;"Your dead men seem
to have moved camp."
33;287395;289929;"They were here."
34;293201;295569;"See where they went."
35;310686;313019;"<i>( Echoing calls )</i>"
36;341050;343218;"What is it?"
37;343253;345721;"It's..."
38;346723;348658;"( Crackles )"
39;350861;353095;"<i>( Distant scream )</i>"
40;353130;355397;"<i>( Horses neighing )</i>"
41;355432;357265;"<i>( Hoofbeats )</i>"
42;385793;388727;"<i>( Crackling, snarling )</i>"
43;388762;391130;"<i>( Chittering noises )</i>"
44;399272;401373;"( Coughing )"
45;405078;407146;"( Panting )"
46;407180;409048;"( Wheezing )"
47;410050;412017;"<i>( Hissing breath )</i>"
48;414387;416955;"( Gasps )"
49;419759;422494;"<i>( Crackling )</i>"
50;427835;430870;"<i>( Crackling )</i>"
51;430904;433239;"<i>( Chittering )</i>"
52;435742;437944;"<i>( Theme music playing )</i>"
53;437969;441969;"<font color=#00FF00>♪ Game of Thrones 1x01 ♪</font>
<font color=#00FFFF>Winter Is Coming</font>
Original Air Date on April 17, 2011"
54;441994;445994;"== sync, corrected by <font color="#00ff00">elderman</font> =="
55;540147;542214;"( Hoofbeats )"
56;582556;584089;"( Stomps )"
57;588161;591230;"Go on, father's watching."
58;593267;595168;"<i>And your mother.</i>"
59;601176;604546;"Fine work as always.
Well done."
60;604580;606415;"Thank you."
61;606449;610418;"I love the detail that you've managed
to get in these corners."
62;610453;612387;"<i>Quite beautiful.</i>"
63;612422;614455;"The stitching..."
64;616792;619160;"<i>( Arrows thunk, laughter )</i>"
65;633244;635445;"- ( Sighs )
- ( Laughing )"
66;635479;638282;"And which one of you
was a marksman at 10?"
67;639251;640818;"Keep practicing, Bran."
68;642888;644922;"Go on."
69;644957;647825;"Don't think
too much, Bran."
70;649294;651361;"Relax your bow arm."
71;661305;663139;"( Men laugh )"
72;663173;665974;"Quick, Bran!
Faster."
73;667477;669545;"Lord Stark!"
74;670580;672581;"My lady."
75;673750;675784;"A guardsman just
rode in from the hills."
76;675819;678820;"They've captured a deserter
from The Night's Watch."
77;682124;684493;"Get the lads to saddle
their horses."
78;684527;686561;"Do you have to?"
79;686595;688929;"He swore an oath, Cat."
80;688964;690931;"The law is law,
my lady."
81;692100;693934;"Tell Bran he's coming too."
82;695736;697403;"Ned."
83;697438;699772;"10 is too young
to see such things."
84;699806;701573;"He won't be a boy forever."
85;703476;705810;"And winter is coming."
86;724199;727801;"Lad, go run back
and get the rest."
87;732374;734241;"( Muttering )
White Walkers."
88;734275;737010;"I saw the White Walkers."
89;737045;738979;"White Walkers."
90;739013;742081;"The White Walkers,
I saw them."
91;742115;745384;"( Pants )"
92;750924;752759;"I know I broke my oath."
93;754028;755862;"And I know
I'm a deserter."
94;755896;759599;"I should have gone back to the wall
and warned them, but--"
95;759633;761801;"I saw what I saw."
96;761836;763836;"I saw the White Walkers."
97;765639;767574;"<i>People need to know.</i>"
98;769710;771578;"If you can get word
to my family..."
99;771612;774014;"<i>Tell them I'm no coward.</i>"
100;774048;776183;"<i>Tell them I'm sorry.</i>"
101;793000;794768;"( Whispers )
Forgive me, Lord."
102;798672;801474;"In the name of Robert
of the House Baratheon,"
103;801508;803409;"- the first of his name...
- Don't look away."
104;803443;805183;"<i>...King of the Andals</i>
<i>and the first men...</i>"
105;805184;806322;"Father will know if you do."
106;806347;809882;"<i>...Lord of the Seven Kingdoms</i>
<i>and protector of the realm,</i>"
107;809917;812652;"I, Eddard of the House Stark,"
108;812687;815556;"Lord of Winterfell
and warden of the north,"
109;815590;818125;"sentence you to die."
110;832574;835041;"You did well."
111;862236;864170;"You understand
why I did it?"
112;864204;866172;"Jon said
he was a deserter."
113;866206;868874;"But do you understand
why <i>i</i> had to kill him?"
114;868909;870676;""Our way is the old way"?"
115;872278;874246;"The man who passes
the sentence"
116;874280;876014;"should swing the sword."
117;877083;879418;"Is it true he saw
the White Walkers?"
118;881220;884290;"The White Walkers have been
gone for thousands of years."
119;884324;887127;"So he was lying?"
120;891066;893868;"A madman sees what he sees."
121;919628;921796;"What is it?"
122;923565;926234;"Mountain lion?"
123;927536;929538;"There are no Mountain lions
in these woods."
124;956735;959069;"( Pup whines )"
125;960272;962906;"( Yips )"
126;975522;977523;"It's a freak!"
127;978425;981160;"It's a direwolf."
128;989003;991737;"Tough old beast."
129;993173;995941;"There are no direwolves
south of the wall."
130;995975;998109;"Now there are five."
131;998144;1000812;"You want to hold it?"
132;1002814;1004982;"( Pup whimpers )"
133;1005017;1007518;"Bran:
Where will they go?"
134;1007553;1009354;"Their mother's dead."
135;1009388;1011023;"They don't belong
down here."
136;1011057;1012991;"Better
a quick death."
137;1013025;1014893;"They won't last
without their mother."
138;1014927;1017095;"- Right. Give it here.
- No!"
139;1017130;1018863;"- ( Whimpers )
- Put away your blade."
140;1018897;1021032;"I take orders
from your father, not you."
141;1021067;1023868;"- Please, father!
- I'm sorry, Bran."
142;1023903;1025771;"Lord Stark?"
143;1025805;1028273;"There are
five pups..."
144;1029742;1031609;"one for each
of the Stark children."
145;1031644;1034446;"- <i>( Pup cries )</i>
- The direwolf is the sigil of your House."
146;1035814;1038016;"They were meant
to have them."
147;1042955;1045390;"You will train them
yourselves."
148;1045424;1047392;"You will
feed them yourselves."
149;1047426;1050462;"And if they die,
you will bury them yourselves."
150;1058670;1060805;"What about you?"
151;1061707;1063308;"I'm not a Stark."
152;1063342;1065543;"Get on."
153;1072452;1074586;"<i>( Whimpers )</i>"
154;1074620;1077022;"What is it?"
155;1080826;1084796;"The runt of the litter--
that one's yours, snow."
156;1093606;1096475;"<i>( Bells tolling )</i>"
157;1144654;1148090;"As your brother,
I feel it's my duty to warn you:"
158;1149359;1151393;"You worry too much."
159;1151428;1154763;"- It's starting to show.
- And you never worry about anything."
160;1156466;1160036;"<i>When we were seven</i>
<i>and you jumped off</i>
<i>the cliffs at Casterly Rock,</i>"
161;1160070;1162405;"100-foot drop into the water,"
162;1162439;1164507;"and you were never afraid."
163;1164542;1167243;"There was nothing to be afraid of
until you told father."
164;1167277;1169144;"( Whispers, mimicking )
"We're lannisters."
165;1169178;1171646;"Lannisters
don't act like fools.""
166;1173316;1175583;"<i>What if Jon Arryn</i>
<i>told someone?</i>"
167;1175618;1177918;"But who would he tell?"
168;1177953;1181088;"- My husband.
- If he told the King, both our heads"
169;1181123;1183323;"would be skewered
on the city gates by now."
170;1184859;1187862;"Whatever Jon Arryn
knew or didn't know, it died with him."
171;1187896;1191699;"And Robert will choose a new
Hand of the King-- someone to do his job"
172;1191733;1194635;"while he's off fucking boars
and hunting whores--"
173;1194670;1197638;"or is it
the other way around?"
174;1197673;1200074;"And life will go on."
175;1200108;1202677;"You should be
The Hand of the King."
176;1202711;1205546;"That's an honor
I can do without."
177;1205581;1207715;"Their days are too long,"
178;1207749;1210017;"their lives are too short."
179;1213721;1216389;"<i>( Thunder rumbles )</i>"
180;1221595;1222928;"( Caws )"
181;1237145;1239780;"<i>( Birds chirping )</i>"
182;1248324;1249991;"All these years"
183;1250026;1251693;"and I still feel
like an outsider"
184;1251727;1253962;"when I come here."
185;1253997;1256532;"You have five
northern children."
186;1256566;1259801;"You're not an outsider."
187;1259836;1262771;"I wonder
if the old gods agree."
188;1263873;1266775;"It's your gods
with all the rules."
189;1271916;1274851;"I am so sorry, my love."
190;1276254;1279790;"- Tell me.
- There was a raven from King's Landing."
191;1281660;1283361;"Jon Arryn is dead."
192;1283395;1286064;"<i>A fever took him.</i>"
193;1288835;1291136;"<i>I know he was like</i>
<i>a father to you.</i>"
194;1293939;1297208;"- <i>Your sister, the boy?</i>
- They both have their health,"
195;1297242;1299410;"<i>gods be good.</i>"
196;1309154;1312056;"The raven
brought more news..."
197;1313292;1315393;"The King rides
for Winterfell..."
198;1315428;1317128;"with the Queen"
199;1317163;1319297;"<i>and all the rest</i>
<i>of them.</i>"
200;1319332;1322601;"If he's coming
this far north..."
201;1323971;1326172;"There's only
one thing he's after."
202;1326206;1329242;"You can always say no, Ned."
203;1337952;1341689;"Catelyn:
We'll need plenty of candles
for Lord Tyrion's chamber."
204;1341723;1343657;"I'm told he reads
all night."
205;1343692;1345593;"I'm told he drinks
all night."
206;1345627;1348930;"How much could he possibly drink?
A man of his..."
207;1348964;1350731;"Stature?"
208;1350766;1353435;"We've brought up
eight barrels of ale from the cellar."
209;1353469;1356004;"- Perhaps we'll find out.
- In any case,"
210;1356038;1358707;"<i>candles.</i>"
211;1362813;1365882;"Why is your mother so dead set
on us getting pretty for the King?"
212;1365916;1368751;"It's for the Queen, I bet.
I hear she's a sleek bit of mink."
213;1368786;1370887;"I hear the prince
is a right royal prick."
214;1370921;1372955;"Think of all those
southern girls he gets to stab"
215;1372990;1374557;"with his right
royal prick."
216;1376325;1378460;"Go on, Tommy,
shear him good."
217;1378494;1380963;"He's never met a girl he likes better
than his own hair."
218;1380997;1383098;"<i>( Laughter )</i>"
219;1417868;1420736;"- <i>( Pup barks )</i>
- Gods, but they grow fast."
220;1423106;1424573;"Brandon!"
221;1424607;1427943;"I saw the king.
He's got hundreds of people."
222;1427977;1431180;"How many times
have I told you no climbing?"
223;1431214;1434082;"But he's coming right now--
down our road."
224;1440923;1443491;"I want you
to promise me,"
225;1443526;1445293;"no more climbing."
226;1449698;1451299;"I promise."
227;1453569;1456539;"- Do you know what?
- What?"
228;1456573;1458874;"You always look
at your feet before you lie."
229;1458909;1461510;"( Chuckles )"
230;1461545;1464914;"Run and find your father.
Tell him the King is close."
231;1509027;1512730;"Where's Arya?
Sansa, where's your sister?"
232;1522842;1524476;"- Hey hey hey hey.
- Ohh."
233;1524510;1526811;"What are you doing
with that on?"
234;1529614;1531750;"- Go on.
- ( Arya groans )"
235;1533052;1534853;"Move!"
236;1552404;1554572;"( Neighs )"
237;1616867;1618868;"Your Grace."
238;1622874;1624975;"You've got fat."
239;1631516;1633684;"( Laughter )"
240;1637054;1639689;"- Cat!
- Your Grace."
241;1642893;1645961;"Nine years-- why haven't I seen you?
Where the hell have you been?"
242;1645995;1647896;"Guarding the north
for you, your Grace."
243;1647931;1650700;"<i>Winterfell is yours.</i>"
244;1653737;1656173;"- Where's the imp?
- Will you shut up?"
245;1656207;1658909;"Robert:
Who have we here?"
246;1658943;1660711;"You must be Robb."
247;1663382;1667018;"My, you're
a pretty one."
248;1667053;1669020;"Your name is?"
249;1669054;1671622;"Arya."
250;1671657;1674693;"Oh, show us
your muscles."
251;1676462;1677963;"You'll be a soldier."
252;1680567;1683369;"Arya:
<i>That's Jaime Lannister,</i>
<i>the Queen's twin brother.</i>"
253;1683403;1685605;"Sansa:
<i>Would you please shut up?</i>"
254;1695048;1697249;"My Queen."
255;1697284;1698918;"My Queen."
256;1698953;1701154;"Take me to your crypt.
I want to pay my respects."
257;1701188;1703423;"We've been riding
for a month, my love."
258;1703457;1705158;"Surely the dead can wait."
259;1705193;1707160;"Ned."
260;1716336;1718137;"Where's the imp?"
261;1721507;1723541;"Where is our brother?"
262;1723575;1725776;"Go and find
the little beast."
263;1727880;1730314;"Tell me about
Jon Arryn."
264;1730348;1732983;"One minute
he was fine and then..."
265;1734219;1736954;"Burned right through him,
whatever it was."
266;1738156;1740091;"I loved that man."
267;1740125;1741459;"We both did."
268;1741493;1744729;"Robert:
He never had to teach
you much, but me?"
269;1744763;1745997;"You remember me at 16?"
270;1746031;1747966;"- ( Chuckles )
- All I wanted to do"
271;1748000;1750635;"was crack skulls
and fuck girls."
272;1750669;1753571;"- He showed me what was what.
- Aye."
273;1753605;1756941;"Don't look at me like that.
It's not his fault I didn't listen."
274;1760880;1763214;"I need you, Ned--"
275;1763249;1767152;"down at King's Landing, not up here
where you're no damn use to anybody."
276;1768688;1771556;"Lord Eddard Stark,"
277;1771591;1774192;"I would name you
the Hand of the King."
278;1778631;1780699;"I'm not worthy
of the honor."
279;1780733;1784470;"I'm not trying to honor you.
I'm trying to get you to run my kingdom"
280;1784504;1788040;"while I eat, drink and whore
my way to an early grave."
281;1788074;1790175;"Damn it, Ned, stand up."
282;1791444;1793613;"You helped me win
the iron throne,"
283;1793647;1795748;"now help me
keep the damn thing."
284;1796783;1798784;"We were meant
to rule together."
285;1798818;1802887;"If your sister had lived,
we'd have been bound by blood."
286;1802922;1805290;"Well, it's not too late."
287;1806692;1808627;"I have a son,
you have a daughter."
288;1810363;1812197;"We'll join our Houses."
289;1816369;1818905;"<i>( Woman moaning )</i>"
290;1828117;1831185;"( Moaning )"
291;1836191;1840161;"- <i>( Cup falls )</i>
- It is true what they say
about the northern girls."
292;1840196;1842731;"( Giggles )"
293;1848437;1850638;"Did you hear the King's
in Winterfell?"
294;1850672;1852607;"I did hear
something about that."
295;1852641;1854908;"And the Queen
and her twin brother."
296;1854943;1858078;"They say that <i>he</i> is the most
handsome man in the Seven Kingdoms."
297;1858112;1860246;"And the other brother?"
298;1860280;1863316;"- The Queen has two brothers?
- There's the pretty one,"
299;1863350;1866352;"and there's
the clever one."
300;1868221;1871257;"Mmm, I hear they
call him the imp."
301;1871292;1873359;"I hear he hates
that nickname."
302;1873393;1876629;"Oh?
I hear he's
more than earned it."
303;1876664;1879432;"I hear he's a drunken
little lecher,"
304;1879467;1881902;"prone to all manner
of perversions."
305;1881936;1883837;"Clever girl."
306;1885306;1887474;"We've been expecting you,
Lord Tyrion."
307;1888776;1890677;"Have you?"
308;1890711;1892579;"- Oh!
- Already?"
309;1894649;1897451;"The gods gave me
one blessing."
310;1897485;1899386;"( Door opens )"
311;1902256;1904858;"- Don't get up.
- My Lord."
312;1904892;1907227;"Should I explain to you
the meaning of a closed door"
313;1907261;1910998;"- in a whorehouse, brother?
- You have much to teach me, no doubt,"
314;1911032;1914668;"but our sister craves
your attention."
315;1914702;1916804;"She has odd cravings,
our sister."
316;1916838;1918972;"A family trait."
317;1919007;1921875;"Now the Starks are
feasting us at sundown."
318;1921910;1924111;"Don't leave me alone
with these people."
319;1924146;1926514;"<i>I'm sorry, I've begun</i>
<i>the feast a bit early.</i>"
320;1926548;1929917;"And this is the first
of many courses."
321;1929951;1932153;"I thought
you might say that."
322;1932187;1934588;"But since
we're short on time..."
323;1934622;1936523;"Come on, girls."
324;1936558;1939225;"( Giggling )"
325;1941595;1943897;"See you at sundown."
326;1943931;1946499;"Tyrion:
<i>Close the door!</i>"
327;1958647;1961649;"Did you have to bury her
in a place like this?"
328;1963386;1965687;"<i>She should be</i>
<i>on a hill somewhere</i>"
329;1965722;1968324;"with the sun
and the clouds above her."
330;1968358;1970326;"<i>She was my sister.</i>"
331;1970360;1973128;"This is where
she belongs."
332;1973163;1975698;"She belonged with me."
333;1981071;1984340;"In my dreams,
I kill him every night."
334;1985875;1988343;"It's done, your Grace."
